Pair_ID	relatedness_score
6	3.597141
7	3.517941
8	3.5179029
1	3.560608
1	3.5616078
1	3.5044217
1	3.504932
1	3.5657725
1	3.5612993
1	3.5412931
2	3.54067
2	3.538589
2	3.512749
2	3.5126915
2	3.546133
2	3.5404894
3	3.544974
3	3.566385
3	3.5856423
3	3.5852983
3	3.5510962
3	3.5877554
3	3.585344
3	3.5856824
4	3.5234728
4	3.519204
4	3.5265799
4	3.5234904
5	3.5190754
5	3.518987
5	3.530232
5	3.5278702
5	3.5259883
5	3.5301237
5	3.5180273
6	3.517992
6	3.518018
6	3.5337787
6	3.530455
6	3.5390146
6	3.5307527
6	3.53047
6	3.5306559
7	3.5390353
7	3.520176
7	3.521369
7	3.5228608
8	3.5217917
8	3.5647228
8	3.5219457
9	3.5247211
9	3.5234494
9	3.5119514
1	3.5201845
1	3.523799
1	3.5235796
1	3.5252454
1	3.523614
1	3.5274482
1	3.527946
1	3.5282464
1	3.5234103
1	3.5234065
1	3.5614648
1	3.5508373
1	3.5520527
1	3.5518107
1	3.5547028
1	3.554594
1	3.5494394
1	3.5254688
1	3.5492697
1	3.5520275
1	3.5281792
1	3.5664122
1	3.5182686
1	3.5665975
1	3.5481963
1	3.518467
1	3.511712
1	3.5140934
1	3.499692
1	3.5207953
1	3.5207205
1	3.5140233
1	3.5222983
1	3.5141034
1	3.5463648
1	3.5266817
1	3.5503912
1	3.551302
1	3.5267344
1	3.5152628
1	3.511965
1	3.55089
1	3.5591755
1	3.5155232
1	3.5156474
1	3.5158095
1	3.5156226
1	3.5337014
1	3.5580063
1	3.540698
1	3.5200086
1	3.5356598
1	3.5357094
1	3.5357537
1	3.535728
1	3.5492144
1	3.5828123
1	3.5476615
1	3.5474157
1	3.5440903
1	3.547545
2	3.5592556
2	3.5257015
2	3.5258849
2	3.566405
2	3.5255766
2	3.5534265
2	3.5531635
2	3.5234108
2	3.5202591
2	3.5235834
2	3.5241017
2	3.5240555
2	3.512284
2	3.5322654
2	3.5148513
2	3.5277467
2	3.5242507
2	3.5322583
2	3.5074997
2	3.5072398
2	3.510779
2	3.510792
2	3.507157
2	3.501166
2	3.510787
2	3.5075903
2	3.5012357
2	3.581836
2	3.5332513
2	3.5388188
2	3.5387177
2	3.5388122
2	3.5388021
2	3.538814
2	3.5433884
2	3.5631056
2	3.516403
2	3.5227983
2	3.5182047
2	3.5226705
2	3.5255022
2	3.5048218
2	3.5405278
2	3.5405002
2	3.5040417
2	3.5194507
2	3.5328963
2	3.5195532
2	3.5193777
2	3.51963
3	3.5502138
3	3.5499892
3	3.551774
3	3.5162659
3	3.5618196
3	3.5819101
3	3.5257626
3	3.5614064
3	3.5614083
3	3.5613713
3	3.608195
3	3.512635
3	3.5136013
3	3.594972
3	3.6077402
3	3.5949485
3	3.573333
3	3.5378397
3	3.5291934
3	3.604582
3	3.5530834
3	3.5552561
3	3.547536
3	3.555193
3	3.5627284
3	3.5563924
3	3.535731
3	3.562605
3	3.562582
3	3.5358956
3	3.54819
3	3.548106
3	3.5480843
3	3.5468178
3	3.5152898
3	3.5481436
3	3.5451643
3	3.5670426
3	3.545247
3	3.566901
3	3.531739
3	3.5532513
4	3.5490003
4	3.6303873
4	3.5008826
4	3.4975646
4	3.5297809
4	3.5016506
4	3.5839715
4	3.5211122
4	3.5503209
4	3.5894418
4	3.583819
4	3.5208883
4	3.5739615
4	3.5642886
4	3.5733857
4	3.5354676
4	3.5353754
4	3.518991
4	3.5250008
4	3.5352817
4	3.5040002
4	3.525879
4	3.509504
4	3.512003
4	3.5104942
4	3.5004957
4	3.5106032
4	3.5106149
4	3.5199766
4	3.5168338
4	3.5289376
4	3.5322256
4	3.5288923
4	3.5402997
4	3.5252814
4	3.525087
4	3.5376308
4	3.5228496
4	3.5251946
4	3.530862
4	3.5286357
4	3.5251477
4	3.5156496
4	3.5538085
4	3.5556529
4	3.5556564
4	3.5159116
4	3.5928354
4	3.540366
4	3.5998063
4	3.5924742
4	3.5998514
4	3.5598974
4	3.5678387
4	3.5707345
4	3.5710628
5	3.5707016
5	3.5115104
5	3.5159206
5	3.5159338
5	3.5477939
5	3.581408
5	3.5116792
5	3.517602
5	3.510604
5	3.5658562
5	3.5659528
5	3.586452
5	3.5983863
5	3.584299
5	3.5329995
5	3.5529146
5	3.5144947
5	3.5144923
5	3.5331914
5	3.5009918
5	3.532787
5	3.6411645
5	3.5192924
5	3.5310397
5	3.5171647
5	3.5316157
5	3.6037917
5	3.6123366
5	3.5693102
5	3.569264
5	3.6122966
5	3.5693119
5	3.5694082
5	3.5810242
5	3.537185
5	3.5472891
5	3.5448918
5	3.5616086
5	3.5474238
5	3.5616646
5	3.5452034
5	3.5450187
5	3.537053
5	3.561648
5	3.6455405
