Pair_ID	relatedness_score
6	2.5403445
7	3.692505
8	3.7319174
1	4.031918
1	3.945459
1	3.6996894
1	2.7413425
1	1.8684018
1	1.6757762
1	4.094488
2	3.997548
2	4.1344385
2	4.2968807
2	3.9604502
2	2.8030362
2	3.7313452
3	4.167067
3	4.3528714
3	3.9550476
3	4.092025
3	3.7261176
3	3.9382634
3	4.0407186
3	4.139515
4	3.6949563
4	4.0642314
4	3.1455507
4	4.2093782
5	3.6819263
5	3.4916615
5	4.239293
5	4.2149854
5	4.0270195
5	4.237385
5	4.246974
6	4.1136584
6	4.133256
6	4.1554456
6	3.781074
6	4.0383987
6	4.110665
6	3.4965625
6	4.0573616
7	3.5909514
7	3.901504
7	4.1433125
7	4.1936073
8	2.6756423
8	2.3944607
8	4.36364
9	2.7077842
9	3.2450747
9	4.0474315
1	4.000707
1	4.168018
1	3.0170643
1	3.3419204
1	3.539525
1	4.069414
1	3.6035242
1	3.90132
1	3.277359
1	4.0140247
1	2.2147071
1	4.14334
1	4.1887317
1	2.1243024
1	1.9531848
1	2.2542944
1	3.145637
1	3.5720053
1	2.0817823
1	3.5258236
1	4.117297
1	3.6435971
1	3.5105605
1	3.264824
1	2.885818
1	3.731143
1	4.2535825
1	3.543632
1	3.8694768
1	3.521875
1	3.5548096
1	3.9004307
1	3.8305383
1	4.0794945
1	3.6228228
1	3.4814215
1	2.590652
1	3.633678
1	3.6480412
1	3.834333
1	3.8202276
1	4.1256094
1	3.0382295
1	3.1756644
1	2.4716873
1	3.3758283
1	3.440668
1	4.271238
1	3.5762267
1	4.169707
1	4.137015
1	3.7465672
1	3.5979176
1	3.748733
1	3.7211576
1	4.234823
1	3.660554
1	3.149631
1	3.6639118
1	2.8693175
1	3.8015795
2	2.568959
2	3.243195
2	3.8201327
2	2.9882708
2	3.580935
2	4.0207405
2	3.4913688
2	3.84972
2	3.258874
2	4.114029
2	3.8385563
2	3.245996
2	3.897304
2	4.060297
2	2.1688313
2	4.3827624
2	1.4254255
2	2.267334
2	3.513249
2	4.1763587
2	3.7499585
2	3.8208709
2	3.436264
2	3.9295926
2	3.5924058
2	3.6646867
2	4.2264757
2	4.083815
2	3.2030563
2	4.1827583
2	4.184689
2	3.8549914
2	3.9336667
2	3.751556
2	3.1192021
2	3.975658
2	4.077252
2	4.0398726
2	3.3396835
2	3.6655836
2	4.0674205
2	1.6690886
2	2.8566713
2	2.4867935
2	3.5942254
2	3.1307712
2	3.661509
2	1.9043379
2	4.111365
2	3.8695674
3	3.6609774
3	3.4089775
3	2.5764809
3	2.9318619
3	3.9227772
3	2.4353912
3	1.9723814
3	2.6299133
3	2.4390273
